"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","SEX","SEX_NAME","SEX_CODE","SEX_TYPE","SEX_TYPECODE","SEX_SORTORDER","AGE","AGE_NAME","AGE_CODE","AGE_TYPE","AGE_TYPECODE","AGE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"1981","1981","1981","date",0,0,"2013265924","East Midlands","E12000004","regions",480,3,"7","Total","7","sex",0,0,"0","All ages","0","age",0,0,"20100","Value",3852683,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265924d7d0d20100",18,3168
"1981","1981","1981","date",0,0,"2013265924","East Midlands","E12000004","regions",480,3,"7","Total","7","sex",0,0,"24","Aged 0 - 15","24","age",0,1,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265924d7d24d20100",19,3168
"1981","1981","1981","date",0,0,"2013265924","East Midlands","E12000004","regions",480,3,"7","Total","7","sex",0,0,"22","Aged 16 - 64","22","age",0,2,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265924d7d22d20100",20,3168
"1981","1981","1981","date",0,0,"2013265924","East Midlands","E12000004","regions",480,3,"7","Total","7","sex",0,0,"25","Aged 65 and over","25","age",0,3,"20100","Value",555427,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265924d7d25d20100",21,3168
"1981","1981","1981","date",0,0,"2013265924","East Midlands","E12000004","regions",480,3,"7","Total","7","sex",0,0,"20","Aged 16 - 59/64","20","age",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265924d7d20d20100",22,3168
"1981","1981","1981","date",0,0,"2013265924","East Midlands","E12000004","regions",480,3,"7","Total","7","sex",0,0,"21","Aged 18 - 24","21","age",0,5,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265924d7d21d20100",23,3168
"1981","1981","1981","date",0,0,"2013265925","West Midlands","E12000005","regions",480,4,"7","Total","7","sex",0,0,"0","All ages","0","age",0,0,"20100","Value",5186641,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265925d7d0d20100",24,3168
"1981","1981","1981","date",0,0,"2013265925","West Midlands","E12000005","regions",480,4,"7","Total","7","sex",0,0,"24","Aged 0 - 15","24","age",0,1,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265925d7d24d20100",25,3168
"1981","1981","1981","date",0,0,"2013265925","West Midlands","E12000005","regions",480,4,"7","Total","7","sex",0,0,"22","Aged 16 - 64","22","age",0,2,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265925d7d22d20100",26,3168
"1981","1981","1981","date",0,0,"2013265925","West Midlands","E12000005","regions",480,4,"7","Total","7","sex",0,0,"25","Aged 65 and over","25","age",0,3,"20100","Value",705517,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265925d7d25d20100",27,3168
"1981","1981","1981","date",0,0,"2013265925","West Midlands","E12000005","regions",480,4,"7","Total","7","sex",0,0,"20","Aged 16 - 59/64","20","age",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265925d7d20d20100",28,3168
"1981","1981","1981","date",0,0,"2013265925","West Midlands","E12000005","regions",480,4,"7","Total","7","sex",0,0,"21","Aged 18 - 24","21","age",0,5,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265925d7d21d20100",29,3168
"1981","1981","1981","date",0,0,"2013265926","East","E12000006","regions",480,5,"7","Total","7","sex",0,0,"0","All ages","0","age",0,0,"20100","Value",4854992,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265926d7d0d20100",30,3168
"1981","1981","1981","date",0,0,"2013265926","East","E12000006","regions",480,5,"7","Total","7","sex",0,0,"24","Aged 0 - 15","24","age",0,1,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265926d7d24d20100",31,3168
"1981","1981","1981","date",0,0,"2013265926","East","E12000006","regions",480,5,"7","Total","7","sex",0,0,"22","Aged 16 - 64","22","age",0,2,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265926d7d22d20100",32,3168
"1981","1981","1981","date",0,0,"2013265926","East","E12000006","regions",480,5,"7","Total","7","sex",0,0,"25","Aged 65 and over","25","age",0,3,"20100","Value",703127,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265926d7d25d20100",33,3168
"1981","1981","1981","date",0,0,"2013265926","East","E12000006","regions",480,5,"7","Total","7","sex",0,0,"20","Aged 16 - 59/64","20","age",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265926d7d20d20100",34,3168
"1981","1981","1981","date",0,0,"2013265926","East","E12000006","regions",480,5,"7","Total","7","sex",0,0,"21","Aged 18 - 24","21","age",0,5,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265926d7d21d20100",35,3168
"1981","1981","1981","date",0,0,"2013265927","London","E12000007","regions",480,6,"7","Total","7","sex",0,0,"0","All ages","0","age",0,0,"20100","Value",6805000,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265927d7d0d20100",36,3168
"1981","1981","1981","date",0,0,"2013265927","London","E12000007","regions",480,6,"7","Total","7","sex",0,0,"24","Aged 0 - 15","24","age",0,1,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265927d7d24d20100",37,3168
"1981","1981","1981","date",0,0,"2013265927","London","E12000007","regions",480,6,"7","Total","7","sex",0,0,"22","Aged 16 - 64","22","age",0,2,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265927d7d22d20100",38,3168
"1981","1981","1981","date",0,0,"2013265927","London","E12000007","regions",480,6,"7","Total","7","sex",0,0,"25","Aged 65 and over","25","age",0,3,"20100","Value",1047959,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265927d7d25d20100",39,3168
"1981","1981","1981","date",0,0,"2013265927","London","E12000007","regions",480,6,"7","Total","7","sex",0,0,"20","Aged 16 - 59/64","20","age",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265927d7d20d20100",40,3168
"1981","1981","1981","date",0,0,"2013265927","London","E12000007","regions",480,6,"7","Total","7","sex",0,0,"21","Aged 18 - 24","21","age",0,5,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265927d7d21d20100",41,3168
"1981","1981","1981","date",0,0,"2013265928","South East","E12000008","regions",480,7,"7","Total","7","sex",0,0,"0","All ages","0","age",0,0,"20100","Value",7243055,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265928d7d0d20100",42,3168
"1981","1981","1981","date",0,0,"2013265928","South East","E12000008","regions",480,7,"7","Total","7","sex",0,0,"24","Aged 0 - 15","24","age",0,1,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265928d7d24d20100",43,3168
"1981","1981","1981","date",0,0,"2013265928","South East","E12000008","regions",480,7,"7","Total","7","sex",0,0,"22","Aged 16 - 64","22","age",0,2,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265928d7d22d20100",44,3168
"1981","1981","1981","date",0,0,"2013265928","South East","E12000008","regions",480,7,"7","Total","7","sex",0,0,"25","Aged 65 and over","25","age",0,3,"20100","Value",1147308,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265928d7d25d20100",45,3168
"1981","1981","1981","date",0,0,"2013265928","South East","E12000008","regions",480,7,"7","Total","7","sex",0,0,"20","Aged 16 - 59/64","20","age",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265928d7d20d20100",46,3168
"1981","1981","1981","date",0,0,"2013265928","South East","E12000008","regions",480,7,"7","Total","7","sex",0,0,"21","Aged 18 - 24","21","age",0,5,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265928d7d21d20100",47,3168
"1981","1981","1981","date",0,0,"2013265929","South West","E12000009","regions",480,8,"7","Total","7","sex",0,0,"0","All ages","0","age",0,0,"20100","Value",4383384,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265929d7d0d20100",48,3168
