"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","COMPONENT_OF_GDHI","COMPONENT_OF_GDHI_NAME","COMPONENT_OF_GDHI_CODE","COMPONENT_OF_GDHI_TYPE","COMPONENT_OF_GDHI_TYPECODE","COMPONENT_OF_GDHI_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"1997","1997","1997","date",0,0,"2013265929","South West","E12000009","regions",480,8,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",10914,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265929d0d2d20100",17,624
"1997","1997","1997","date",0,0,"2013265930","Wales","W92000004","regions",480,9,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",26817,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265930d0d1d20100",18,624
"1997","1997","1997","date",0,0,"2013265930","Wales","W92000004","regions",480,9,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9264,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265930d0d2d20100",19,624
"1997","1997","1997","date",0,0,"2013265931","Scotland","S92000003","regions",480,10,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",48705,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265931d0d1d20100",20,624
"1997","1997","1997","date",0,0,"2013265931","Scotland","S92000003","regions",480,10,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9581,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265931d0d2d20100",21,624
"1997","1997","1997","date",0,0,"2013265932","Northern Ireland","N92000002","regions",480,11,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",14318,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265932d0d1d20100",22,624
"1997","1997","1997","date",0,0,"2013265932","Northern Ireland","N92000002","regions",480,11,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",8567,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31952e1d2013265932d0d2d20100",23,624
"1998","1998","1998","date",0,1,"2013265921","North East","E12000001","regions",480,0,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",23431,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265921d0d1d20100",24,624
"1998","1998","1998","date",0,1,"2013265921","North East","E12000001","regions",480,0,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9150,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265921d0d2d20100",25,624
"1998","1998","1998","date",0,1,"2013265922","North West","E12000002","regions",480,1,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",66235,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265922d0d1d20100",26,624
"1998","1998","1998","date",0,1,"2013265922","North West","E12000002","regions",480,1,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9752,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265922d0d2d20100",27,624
"1998","1998","1998","date",0,1,"2013265923","Yorkshire and The Humber","E12000003","regions",480,2,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",48233,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265923d0d1d20100",28,624
"1998","1998","1998","date",0,1,"2013265923","Yorkshire and The Humber","E12000003","regions",480,2,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9729,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265923d0d2d20100",29,624
"1998","1998","1998","date",0,1,"2013265924","East Midlands","E12000004","regions",480,3,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",40703,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265924d0d1d20100",30,624
"1998","1998","1998","date",0,1,"2013265924","East Midlands","E12000004","regions",480,3,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9849,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265924d0d2d20100",31,624
"1998","1998","1998","date",0,1,"2013265925","West Midlands","E12000005","regions",480,4,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",52576,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265925d0d1d20100",32,624
"1998","1998","1998","date",0,1,"2013265925","West Midlands","E12000005","regions",480,4,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9974,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265925d0d2d20100",33,624
"1998","1998","1998","date",0,1,"2013265926","East","E12000006","regions",480,5,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",60124,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265926d0d1d20100",34,624
