region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
E12000004,gdhi_total_mn_gbp,2001,46577.0,,,,
E12000005,gdhi_per_head_gbp,2001,11228.0,,,,
E12000005,gdhi_total_mn_gbp,2001,59293.0,,,,
E12000006,gdhi_per_head_gbp,2001,13008.0,,,,
E12000006,gdhi_total_mn_gbp,2001,70247.0,,,,
E12000007,gdhi_per_head_gbp,2001,15765.0,,,,
E12000007,gdhi_total_mn_gbp,2001,115438.0,,,,
E12000008,gdhi_per_head_gbp,2001,14504.0,,,,
E12000008,gdhi_total_mn_gbp,2001,116375.0,,,,
E12000009,gdhi_per_head_gbp,2001,12423.0,,,,
E12000009,gdhi_total_mn_gbp,2001,61409.0,,,,
N92000002,gdhi_per_head_gbp,2001,9641.0,,,,
N92000002,gdhi_total_mn_gbp,2001,16281.0,,,,
S92000003,gdhi_per_head_gbp,2001,11286.0,,,,
S92000003,gdhi_total_mn_gbp,2001,57157.0,,,,
W92000004,gdhi_per_head_gbp,2001,10702.0,,,,
W92000004,gdhi_total_mn_gbp,2001,31146.0,,,,
E12000001,gdhi_per_head_gbp,2002,10631.0,,,,
E12000001,gdhi_total_mn_gbp,2002,27009.0,,,,
E12000002,gdhi_per_head_gbp,2002,11383.0,,,,
E12000002,gdhi_total_mn_gbp,2002,77236.0,,,,
E12000003,gdhi_per_head_gbp,2002,11264.0,,,,
E12000003,gdhi_total_mn_gbp,2002,56320.0,,,,
E12000004,gdhi_per_head_gbp,2002,11384.0,,,,
E12000004,gdhi_total_mn_gbp,2002,48059.0,,,,
E12000005,gdhi_per_head_gbp,2002,11486.0,,,,
E12000005,gdhi_total_mn_gbp,2002,60892.0,,,,
E12000006,gdhi_per_head_gbp,2002,13333.0,,,,
E12000006,gdhi_total_mn_gbp,2002,72434.0,,,,
E12000007,gdhi_per_head_gbp,2002,15982.0,,,,
E12000007,gdhi_total_mn_gbp,2002,117894.0,,,,
E12000008,gdhi_per_head_gbp,2002,14840.0,,,,
E12000008,gdhi_total_mn_gbp,2002,119391.0,,,,
E12000009,gdhi_per_head_gbp,2002,12597.0,,,,
E12000009,gdhi_total_mn_gbp,2002,62686.0,,,,
N92000002,gdhi_per_head_gbp,2002,10173.0,,,,
N92000002,gdhi_total_mn_gbp,2002,17269.0,,,,
S92000003,gdhi_per_head_gbp,2002,11689.0,,,,
S92000003,gdhi_total_mn_gbp,2002,59216.0,,,,
W92000004,gdhi_per_head_gbp,2002,10993.0,,,,
W92000004,gdhi_total_mn_gbp,2002,32132.0,,,,
E12000001,gdhi_per_head_gbp,2003,10962.0,,,,
E12000001,gdhi_total_mn_gbp,2003,27848.0,,,,
E12000002,gdhi_per_head_gbp,2003,11768.0,,,,
E12000002,gdhi_total_mn_gbp,2003,80195.0,,,,
E12000003,gdhi_per_head_gbp,2003,11618.0,,,,
E12000003,gdhi_total_mn_gbp,2003,58397.0,,,,
E12000004,gdhi_per_head_gbp,2003,11856.0,,,,
E12000004,gdhi_total_mn_gbp,2003,50446.0,,,,
E12000005,gdhi_per_head_gbp,2003,11780.0,,,,
E12000005,gdhi_total_mn_gbp,2003,62735.0,,,,
E12000006,gdhi_per_head_gbp,2003,13598.0,,,,
E12000006,gdhi_total_mn_gbp,2003,74438.0,,,,
E12000007,gdhi_per_head_gbp,2003,16664.0,,,,
E12000007,gdhi_total_mn_gbp,2003,123224.0,,,,
E12000008,gdhi_per_head_gbp,2003,15047.0,,,,
E12000008,gdhi_total_mn_gbp,2003,121701.0,,,,
E12000009,gdhi_per_head_gbp,2003,12930.0,,,,
E12000009,gdhi_total_mn_gbp,2003,64734.0,,,,
N92000002,gdhi_per_head_gbp,2003,10643.0,,,,
N92000002,gdhi_total_mn_gbp,2003,18145.0,,,,
S92000003,gdhi_per_head_gbp,2003,12081.0,,,,
S92000003,gdhi_total_mn_gbp,2003,61232.0,,,,
W92000004,gdhi_per_head_gbp,2003,11404.0,,,,
W92000004,gdhi_total_mn_gbp,2003,33503.0,,,,
E12000001,gdhi_per_head_gbp,2004,11470.0,,,,
E12000001,gdhi_total_mn_gbp,2004,29140.0,,,,
E12000002,gdhi_per_head_gbp,2004,12215.0,,,,
E12000002,gdhi_total_mn_gbp,2004,83555.0,,,,
E12000003,gdhi_per_head_gbp,2004,12004.0,,,,
E12000003,gdhi_total_mn_gbp,2004,60779.0,,,,
E12000004,gdhi_per_head_gbp,2004,12309.0,,,,
E12000004,gdhi_total_mn_gbp,2004,52822.0,,,,
E12000005,gdhi_per_head_gbp,2004,12190.0,,,,
E12000005,gdhi_total_mn_gbp,2004,65175.0,,,,
E12000006,gdhi_per_head_gbp,2004,14026.0,,,,
E12000006,gdhi_total_mn_gbp,2004,77263.0,,,,
E12000007,gdhi_per_head_gbp,2004,17569.0,,,,
E12000007,gdhi_total_mn_gbp,2004,130588.0,,,,
E12000008,gdhi_per_head_gbp,2004,15627.0,,,,
