region,region_code,metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Northern Ireland,TLN,nominal_gva_mn_gbp,,19603.0,20710.0,22344.0,23267.0,24039.0,25961.0,27232.0,28747.0,30484.0,31574.0,31939.0,31354.0,31000.0,31636.0,32952.0,34012.0,35071.0,36351.0,38547.0,40230.0,41386.0,43818.0,42146.0,46614.0,50701.0,56141.0,54591.69952383132,55049.09288724861,57197.48370352963,59429.719372784384,61749.07209265848,64158.94176425238,66662.860975981
Scotland,S92000003,gdhi_per_head_gbp,9581.0,9792.0,10156.0,10751.0,11286.0,11689.0,12081.0,12664.0,13089.0,13704.0,14415.0,15021.0,15214.0,15417.0,15711.0,16198.0,16777.0,17192.0,17717.0,17859.0,18199.0,18692.0,19391.0,19339.0,19872.0,20854.0,21964.937823452135,22587.62940757573,23224.583244856785,23876.104797519623,24542.506871808022,25224.10978104128,25921.24151203668,26634.237895001585
Scotland,S92000003,gdhi_total_mn_gbp,48705.0,49714.0,51508.0,54432.0,57157.0,59216.0,61232.0,64389.0,66887.0,70345.0,74527.0,78150.0,79598.0,81128.0,83264.0,85988.0,89208.0,91673.0,94815.0,95989.0,98092.0,100830.0,104990.0,104686.0,107674.0,113605.0,120469.90279619266,124359.2441109845,128358.3442341039,132470.06518476314,136697.34349803696,141043.1921898191,145510.70277241422,150103.0473220914
Scotland,TLM,chained_gva_mn_gbp,,112749.0,114295.0,118328.0,122867.0,124460.0,128253.0,132498.0,137345.0,141842.0,145185.0,147329.0,142595.0,143242.0,145327.0,147443.0,151086.0,155861.0,157361.0,158021.0,163282.0,163026.0,165620.0,147123.0,160321.0,166866.0,168245.0,169728.91806910772,171260.7184476202,172776.10805728153,174276.8390710319,175764.5542225453,177240.79275139282,178706.996212134
Scotland,TLM,emp_total_jobs,,,,,,,,,,,,,2407000.0,2331000.0,2350000.0,2319000.0,2348000.0,2437000.0,2462000.0,2481000.0,2471000.0,2508000.0,2501000.0,2445000.0,2521000.0,2524000.0,2562000.0,2566930.2255555685,2582815.647067567,2598799.375348523,2614882.0187688684,2631064.1894639437,2647346.503357264,2663729.580183999
Scotland,TLM,nominal_gva_mn_gbp,,69990.0,71019.0,73905.0,78263.0,81408.0,86231.0,91899.0,97381.0,103898.0,108168.0,113289.0,112920.0,112827.0,115662.0,119265.0,124638.0,130440.0,131988.0,134155.0,140881.0,143492.0,149254.0,141398.0,151916.0,166866.0,183471.0,182091.77209316083,188633.9539197832,195411.18284688971,202431.9036320418,209704.86443552325,217239.1277209748,225044.08154766532
Scotland,TLM,productivity_gbp_per_job,,,,,,,,,,,,,46913.16992106356,48402.831402831405,49217.87234042553,51429.49547218629,53082.623509369674,53524.82560525236,53610.07311129163,54072.954453849256,57013.759611493326,57213.71610845295,59677.72890843663,57831.49284253579,60260.214200714,66111.72741679873,71612.41217798594,70967.78785895767,73054.8995862395,75114.7692757625,77379.68625655962,79656.52092782075,82208.03872489184,84410.80845738412
South East,E12000008,gdhi_per_head_gbp,12683.0,12905.0,13339.0,14039.0,14504.0,14840.0,15047.0,15627.0,16185.0,16918.0,17730.0,18086.0,18443.0,18484.0,18661.0,19310.0,20083.0,20575.0,21790.0,22082.0,22624.0,23405.0,24148.0,23816.0,24606.0,26058.0,26742.00194661469,27506.655071356712,28293.17246797889,29102.179317192982,29934.318675948532,30790.25198858108,31670.659612575226,32576.24135936228
South East,E12000008,gdhi_total_mn_gbp,99604.0,101808.0,106113.0,112177.0,116375.0,119391.0,121701.0,127094.0,132765.0,139927.0,148072.0,152399.0,156600.0,158556.0,161471.0,168611.0,176915.0,182990.0,195449.0,199906.0,205990.0,214157.0,222009.0,219706.0,228729.0,244613.0,253297.89773064817,262508.7361852481,272054.5144312828,281947.4121052135,292200.05173965375,302825.5148686912,313837.35871886264,325249.6335070715
South East,TLJ,chained_gva_mn_gbp,,202977.0,211394.0,222556.0,226412.0,230958.0,236583.0,238867.0,246620.0,251963.0,258454.0,263852.0,253869.0,265012.0,270609.0,276794.0,281399.0,289698.0,297771.0,298435.0,305231.0,310794.0,321149.0,301562.0,318069.0,326144.0,326057.0,339636.9756255363,345356.7817722408,351148.4342960403,357013.08650857996,362951.9100031631,368966.0947591406,375056.84925541497
South East,TLJ,emp_total_jobs,,,,,,,,,,,,,3727000.0,3783000.0,3756000.0,3780000.0,3825000.0,3908000.0,4073000.0,4147000.0,4107000.0,4147000.0,4214000.0,4107000.0,4153000.0,4269000.0,4325000.0,4378349.1870996235,4425807.597058146,4473780.424798244,4522273.246268505,4571291.6978571145,4620841.477046975,4670928.343077939
South East,TLJ,nominal_gva_mn_gbp,,135775.0,142235.0,149118.0,154902.0,161906.0,169912.0,175491.0,184627.0,192653.0,201171.0,212321.0,208306.0,213782.0,219779.0,227513.0,235678.0,245399.0,255027.0,261020.0,270866.0,280390.0,296235.0,291483.0,303748.0,326144.0,354501.0,351050.5089560286,363610.0997859407,376619.0371280789,390093.39732527896,404049.831886294,418505.5880635975,433478.53016740433
South East,TLJ,productivity_gbp_per_job,,,,,,,,,,,,,55891.06519989268,56511.234469997355,58514.11075612353,60188.62433862434,61615.163398692814,62794.01228249744,62614.04370243064,62941.88570050639,65952.27660092525,67612.73209549072,70297.81680113907,70972.24251278305,73139.41728870696,76398.21972358866,81965.54913294797,80183.8303961991,82086.07788097062,84160.03064738483,86212.19303262695,88419.24242551542,90543.98057042509,92579.54074026603
South West,E12000009,gdhi_per_head_gbp,10914.0,11127.0,11525.0,11959.0,12423.0,12597.0,12930.0,13396.0,13901.0,14614.0,15134.0,15612.0,15699.0,16065.0,16312.0,16685.0,17306.0,17888.0,18686.0,18841.0,19265.0,19996.0,20725.0,20627.0,21304.0,22612.0,23079.401302792532,23744.65440506638,24429.083121312127,25133.240179762044,25857.69424078478,26603.03035612198,27369.85044136202,28158.773762032622
South West,E12000009,gdhi_total_mn_gbp,52685.0,53962.0,56252.0,58802.0,61409.0,62686.0,64734.0,67495.0,70703.0,74819.0,78253.0,81260.0,82058.0,84524.0,86466.0,89039.0,93014.0,96992.0,102242.0,104133.0,107397.0,112171.0,116946.0,116792.0,121705.0,130402.0,133776.26173525525,138627.0571357732,143653.74484866761,148862.70281879048,154260.54025852334,159854.10603365535,165650.49735333904,171657.06877514554
South West,TLK,chained_gva_mn_gbp,,113879.0,117991.0,122300.0,126845.0,128564.0,131337.0,134230.0,136608.0,138899.0,141274.0,142557.0,136591.0,141600.0,142295.0,143799.0,144861.0,150594.0,151429.0,153973.0,159266.0,160105.0,163301.0,148165.0,165780.0,170624.0,170832.0,171097.76089288847,173257.71504337888,175434.12831940062,177627.25353482174,179837.34614987145,182064.66423581043,184309.46844282033
South West,TLK,emp_total_jobs,,,,,,,,,,,,,2314000.0,2284000.0,2238000.0,2232000.0,2266000.0,2352000.0,2387000.0,2420000.0,2437000.0,2469000.0,2497000.0,2474000.0,2538000.0,2568000.0,2598000.0,2614347.424019396,2642162.669396346,2670273.853969545,2698684.12637229,2727396.66873765,2756414.6970548527,2785741.4615295366
South West,TLK,nominal_gva_mn_gbp,,67066.0,70346.0,73631.0,77699.0,81089.0,85434.0,90018.0,94098.0,98523.0,102473.0,107440.0,105857.0,109239.0,110531.0,113873.0,117149.0,123383.0,126159.0,130719.0,137276.0,141038.0,147026.0,140831.0,156691.0,170624.0,185952.0,180681.99873255685,186320.6962344721,193216.85191273896,200371.5086383807,207794.48739916604,215495.98762777285,223486.6020033039
South West,TLK,productivity_gbp_per_job,,,,,,,,,,,,,45746.326707000866,47827.93345008756,49388.29311885612,51018.36917562724,51698.587819947046,52458.75850340136,52852.53456221198,54016.115702479336,56329.913828477635,57123.53179424869,58881.05726872247,56924.41390460792,61737.98266351458,66442.36760124611,71575.05773672056,69085.33817894643,70340.24530406967,72389.64060931877,74369.04246108368,76416.64603975095,78256.48562369344,80098.61547791945
Wales,TLL,chained_gva_mn_gbp,,52766.0,53843.0,56205.0,57651.0,58663.0,60787.0,62499.0,63224.0,65271.0,65835.0,63979.0,62030.0,63113.0,64951.0,66019.0,67089.0,68096.0,69625.0,71332.0,72688.0,74542.0,75779.0,68578.0,72608.0,74977.0,74903.0,77104.11925847425,78117.65513157519,79144.51396298173,80184.8708833651,81238.90332549477,82306.79105449868,83388.71619852252
Wales,TLL,emp_total_jobs,,,,,,,,,,,,,1171000.0,1166000.0,1170000.0,1178000.0,1187000.0,1209000.0,1232000.0,1256000.0,1243000.0,1270000.0,1269000.0,1259000.0,1259000.0,1277000.0,1300000.0,1309325.1363983604,1319735.4800169934,1330228.5954783456,1340805.1408949846,1351465.779612074,1362211.1802489902,1373042.016741252
Wales,TLL,nominal_gva_mn_gbp,,32745.0,33423.0,35048.0,36206.0,37848.0,40351.0,42750.0,44614.0,46892.0,48706.0,49201.0,48710.0,49938.0,51893.0,53603.0,55504.0,56920.0,58697.0,61023.0,63140.0,65445.0,68327.0,65096.0,68348.0,74977.0,81458.0,80371.90619758761,83097.1464510875,85914.79380043269,88827.98157353896,91839.94934280167,94954.04652761987,98173.73611907469
Wales,TLL,productivity_gbp_per_job,,,,,,,,,,,,,41596.925704526046,42828.47341337908,44352.99145299145,45503.39558573854,46759.89890480202,47080.23159636063,47643.668831168834,48585.19108280255,50796.46017699115,51531.496062992126,53843.18360914106,51704.52740270056,54287.52978554408,58713.390759592796,62660.0,61423.269067751564,62984.44947488207,64528.122970391785,66303.49377880146,68001.27263704533,69791.71000645343,71578.82863603723
Wales,W92000004,gdhi_per_head_gbp,9264.0,9297.0,9721.0,10277.0,10702.0,10993.0,11404.0,11868.0,12162.0,12545.0,12912.0,13440.0,13456.0,13660.0,13883.0,14300.0,14616.0,15092.0,15591.0,15717.0,16237.0,16860.0,17300.0,17668.0,18015.0,18652.0,19324.18596788794,19858.82885586607,20408.26372618905,20972.899829118294,21553.157737655725,22149.46966081033,22762.27976553181,23392.044507551633
Wales,W92000004,gdhi_total_mn_gbp,26817.0,26957.0,28198.0,29875.0,31146.0,32132.0,33503.0,35098.0,36114.0,37456.0,38819.0,40667.0,40892.0,41662.0,42535.0,43914.0,44886.0,46391.0,47906.0,48364.0,50033.0,51993.0,53419.0,54849.0,55948.0,58432.0,60774.60184659287,62593.89034094387,64463.39287582325,66384.43125523455,68358.36159096037,70386.57519181492,72470.49947586149,74611.59890618928
West Midlands,E12000005,gdhi_per_head_gbp,9681.0,9974.0,10351.0,10808.0,11228.0,11486.0,11780.0,12190.0,12391.0,12852.0,13201.0,13548.0,13873.0,14012.0,14188.0,14568.0,15057.0,15606.0,16391.0,16671.0,16915.0,17439.0,17910.0,18027.0,18507.0,19480.0,19893.950197599836,20432.36511555368,20985.35183151622,21553.304720327647,22136.62883028891,22735.74017203102,23351.066015202177,23983.04519318497
West Midlands,E12000005,gdhi_total_mn_gbp,50945.0,52576.0,54568.0,56955.0,59293.0,60892.0,62735.0,65175.0,66673.0,69601.0,71970.0,74461.0,76687.0,77988.0,79575.0,82167.0,85478.0,89217.0,94351.0,96898.0,99039.0,102703.0,106044.0,106937.0,110231.0,117212.0,119990.69715335323,123961.31827499915,128063.33151674819,132301.08478506087,136679.06986329448,141201.92717274482,145874.45069123612,150701.59303447008
West Midlands,TLG,chained_gva_mn_gbp,,113327.0,116820.0,120004.0,123387.0,124363.0,127325.0,129917.0,131591.0,133798.0,133842.0,133573.0,125541.0,129821.0,133767.0,135796.0,139004.0,143952.0,147770.0,151398.0,156659.0,158836.0,157849.0,141339.0,155226.0,158960.0,160747.0,162893.35015432953,165029.24442214004,167193.14501629196,169385.4191620399,171606.43889977696,173856.58114817564,176136.22776814975
West Midlands,TLG,emp_total_jobs,,,,,,,,,,,,,2302000.0,2312000.0,2302000.0,2323000.0,2340000.0,2404000.0,2465000.0,2505000.0,2579000.0,2577000.0,2593000.0,2564000.0,2605000.0,2663000.0,2701000.0,2737069.7857043375,2771223.165686578,2805802.714329297,2840813.7493997933,2876261.655020903,2912151.882498971,2948489.9511622037
West Midlands,TLG,nominal_gva_mn_gbp,,70546.0,72689.0,74878.0,77766.0,80668.0,84705.0,88717.0,92660.0,95876.0,98602.0,101917.0,98608.0,102000.0,105200.0,108734.0,113782.0,119185.0,123674.0,129396.0,136041.0,140713.0,143711.0,135792.0,146778.0,158960.0,174608.0,168859.520166265,174609.39172900585,180557.12125068012,186709.59364927784,193073.93626774536,199657.52751700184,206468.00583116105
West Midlands,TLG,productivity_gbp_per_job,,,,,,,,,,,,,42835.794960903564,44117.64705882353,45699.39183318853,46807.576409814894,48624.78632478633,49577.78702163062,50172.008113590266,51655.08982035928,52749.51531601396,54603.41482343811,55422.67643655997,52960.9984399376,56344.7216890595,59692.07660533233,64645.68678267308,61741.94365918066,62976.005710797115,64373.0537016882,65776.09515283143,67278.04253121019,68523.7479450293,69994.21907088422
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,9482.0,9729.0,10199.0,10629.0,10983.0,11264.0,11618.0,12004.0,12302.0,12729.0,13247.0,13417.0,13784.0,13841.0,14067.0,14477.0,14883.0,15300.0,16021.0,16106.0,16582.0,17189.0,17693.0,17876.0,18347.0,19249.0,19652.961809515175,20188.076072674157,20737.760520083742,21302.41187125558,21882.43764764913,22478.25646678889,23090.298344390252,23719.005004711362
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,47006.0,48233.0,50550.0,52703.0,54660.0,56320.0,58397.0,60779.0,62844.0,65350.0,68412.0,69752.0,72000.0,72733.0,74388.0,76921.0,79402.0,81955.0,86151.0,87103.0,90003.0,93573.0,96688.0,97757.0,100586.0,106606.0,109586.09947754814,113117.09127151467,116761.85573472026,120524.05875511399,124407.48433982569,128416.03842110261,132553.7527848801,136824.7891259333
